prompt_id,category,prompt,serving_size,coffee_type,flavor_profile,recommended_temp,grind_size,pressure_bar,esp_command
39,iced_sweet,Make an iced sweet latte with a kick,10.0,latte,exceptionally smooth and mild,94,medium-fine,8.5,D-4 R-70 V-260 G-3 R-0
40,bold_espresso,"Brew a dark, rich espresso that helps me relax",10.0,espresso,high-quality & medium-bodied & chocolatey & floral,94,medium-fine,8.5,D-4 R-70 V-260 G-3 R-0
41,smooth_creamy,Give me something smooth and not too acidic that helps me relax,10.0,drip,smooth & nutty & low acidity,93,medium-coarse,N/A,D-4 R-74 V-260 G-7 R-0
42,fruity_light,Make me a bright coffee with citrus notes,3.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-60 G-5 R-0
43,smooth_creamy,I need a creamy and smooth coffee for a hot day,10.0,drip,smooth & nutty & low acidity,93,medium-coarse,N/A,D-4 R-74 V-260 G-7 R-0
44,iced_sweet,Prepare a chilled sweet coffee drink please,3.0,drip,high-quality & medium-bodied & chocolatey & floral,94,medium-coarse,N/A,D-4 R-74 V-60 G-7 R-0
45,fruity_light,I'd like something fruity and light with a kick,10.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-260 G-5 R-0
46,chocolate_nutty,Make a nutty medium roast with a kick,3.0,drip,high-quality & medium-bodied & chocolatey & floral,94,medium-coarse,N/A,D-4 R-74 V-60 G-7 R-0
47,smooth_creamy,I need a creamy and smooth coffee please,10.0,drip,smooth & nutty & low acidity,93,medium-coarse,N/A,D-4 R-74 V-260 G-7 R-0
48,iced_sweet,Prepare a chilled sweet coffee drink that helps me relax,10.0,drip,high-quality & medium-bodied & chocolatey & floral,94,medium-coarse,N/A,D-4 R-74 V-260 G-7 R-0
49,bold_espresso,I need a strong espresso shot please,7.0,espresso,high-quality & medium-bodied & chocolatey & floral,94,medium-fine,8.5,D-4 R-70 V-180 G-3 R-0
50,iced_sweet,Make an iced sweet latte with a kick,7.0,latte,exceptionally smooth and mild,94,medium-fine,8.5,D-4 R-70 V-180 G-3 R-0
51,bold_espresso,I want something bold and intense now,3.0,espresso,high-quality & medium-bodied & chocolatey & floral,94,medium-fine,8.5,D-4 R-70 V-60 G-3 R-0
52,chocolate_nutty,Brew a chocolatey and nutty coffee,10.0,french-press,high-quality & medium-bodied & chocolatey & floral,96,extra-coarse,N/A,D-5 R-74 V-260 G-5 R-0
53,chocolate_nutty,"Prepare a rich, chocolate-inspired brew that helps me relax",7.0,french-press,high-quality & medium-bodied & chocolatey & floral,96,extra-coarse,N/A,D-5 R-74 V-180 G-5 R-0
54,fruity_light,Make me a bright coffee with citrus notes this morning,10.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-260 G-5 R-0
55,iced_sweet,Brew a refreshing and sugary iced latte for a hot day,10.0,latte,exceptionally smooth and mild,94,medium-fine,8.5,D-4 R-70 V-260 G-3 R-0
56,chocolate_nutty,"Prepare a rich, chocolate-inspired brew for a hot day",7.0,french-press,high-quality & medium-bodied & chocolatey & floral,96,extra-coarse,N/A,D-5 R-74 V-180 G-5 R-0
57,bold_espresso,Make me a bold espresso,10.0,espresso,high-quality & medium-bodied & chocolatey & floral,94,medium-fine,8.5,D-4 R-70 V-260 G-3 R-0
58,chocolate_nutty,"Prepare a rich, chocolate-inspired brew with a kick",7.0,french-press,high-quality & medium-bodied & chocolatey & floral,96,extra-coarse,N/A,D-5 R-74 V-180 G-5 R-0
59,chocolate_nutty,"Prepare a rich, chocolate-inspired brew this morning",3.0,french-press,high-quality & medium-bodied & chocolatey & floral,96,extra-coarse,N/A,D-5 R-74 V-60 G-5 R-0
60,smooth_creamy,I want a velvety coffee with low bitterness for a hot day,3.0,drip,smooth & nutty & low acidity,93,medium-coarse,N/A,D-4 R-74 V-60 G-7 R-0
61,fruity_light,Brew something with berry flavors and light body that helps me relax,3.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-60 G-5 R-0
62,smooth_creamy,Give me something smooth and not too acidic please,3.0,drip,smooth & nutty & low acidity,93,medium-coarse,N/A,D-4 R-74 V-60 G-7 R-0
63,iced_sweet,Make an iced sweet latte that helps me relax,10.0,latte,exceptionally smooth and mild,94,medium-fine,8.5,D-4 R-70 V-260 G-3 R-0
64,smooth_creamy,Make me a mellow brew with a soft finish,3.0,drip,high-quality & medium-bodied & chocolatey & floral,94,medium-coarse,N/A,D-4 R-74 V-60 G-7 R-0
65,fruity_light,I want a floral and fruity cup now,10.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-260 G-5 R-0
66,fruity_light,I want a floral and fruity cup please,3.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-60 G-5 R-0
67,fruity_light,Make me a bright coffee with citrus notes for a hot day,7.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-180 G-5 R-0
68,chocolate_nutty,"Prepare a rich, chocolate-inspired brew for a hot day",10.0,french-press,high-quality & medium-bodied & chocolatey & floral,96,extra-coarse,N/A,D-5 R-74 V-260 G-5 R-0
69,iced_sweet,I want a sweet iced coffee please,10.0,drip,high-quality & medium-bodied & chocolatey & floral,94,medium-coarse,N/A,D-4 R-74 V-260 G-7 R-0
70,bold_espresso,Give me the strongest espresso you've got now,3.0,espresso,high-quality & medium-bodied & chocolatey & floral,94,medium-fine,8.5,D-4 R-70 V-60 G-3 R-0
71,fruity_light,Give me a light roast with fruitiness,7.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-180 G-5 R-0
72,chocolate_nutty,Give me coffee with hazelnut and cocoa flavors this morning,3.0,french-press,high-quality & medium-bodied & chocolatey & floral,96,extra-coarse,N/A,D-5 R-74 V-60 G-5 R-0
73,iced_sweet,Make an iced sweet latte this morning,3.0,latte,exceptionally smooth and mild,94,medium-fine,8.5,D-4 R-70 V-60 G-3 R-0
74,smooth_creamy,I want a velvety coffee with low bitterness for a hot day,7.0,drip,smooth & nutty & low acidity,93,medium-coarse,N/A,D-4 R-74 V-180 G-7 R-0
75,smooth_creamy,Give me something smooth and not too acidic that helps me relax,7.0,drip,smooth & nutty & low acidity,93,medium-coarse,N/A,D-4 R-74 V-180 G-7 R-0
76,chocolate_nutty,I want a smooth cup with chocolate notes this morning,3.0,french-press,high-quality & medium-bodied & chocolatey & floral,96,extra-coarse,N/A,D-5 R-74 V-60 G-5 R-0
77,fruity_light,Make me a bright coffee with citrus notes for a hot day,3.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-60 G-5 R-0
78,bold_espresso,Make me a bold espresso please,3.0,espresso,high-quality & medium-bodied & chocolatey & floral,94,medium-fine,8.5,D-4 R-70 V-60 G-3 R-0
79,chocolate_nutty,Give me coffee with hazelnut and cocoa flavors for a hot day,7.0,french-press,high-quality & medium-bodied & chocolatey & floral,96,extra-coarse,N/A,D-5 R-74 V-180 G-5 R-0
80,iced_sweet,Brew a refreshing and sugary iced latte,3.0,latte,exceptionally smooth and mild,94,medium-fine,8.5,D-4 R-70 V-60 G-3 R-0
81,fruity_light,I'd like something fruity and light now,10.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-260 G-5 R-0
82,smooth_creamy,I need a creamy and smooth coffee for a hot day,7.0,drip,smooth & nutty & low acidity,93,medium-coarse,N/A,D-4 R-74 V-180 G-7 R-0
83,bold_espresso,I want something bold and intense for a hot day,3.0,espresso,high-quality & medium-bodied & chocolatey & floral,94,medium-fine,8.5,D-4 R-70 V-60 G-3 R-0
84,chocolate_nutty,I want a smooth cup with chocolate notes for a hot day,3.0,french-press,high-quality & medium-bodied & chocolatey & floral,96,extra-coarse,N/A,D-5 R-74 V-60 G-5 R-0
85,iced_sweet,Give me a cold brew with vanilla and caramel notes that helps me relax,7.0,cold-brew,high-quality & medium-bodied & chocolatey & floral,21,extra-coarse,N/A,D-0 R-74 V-180 G-5 R-0
86,smooth_creamy,Give me something smooth and not too acidic please,7.0,drip,smooth & nutty & low acidity,93,medium-coarse,N/A,D-4 R-74 V-180 G-7 R-0
87,iced_sweet,Brew a refreshing and sugary iced latte that helps me relax,3.0,latte,exceptionally smooth and mild,94,medium-fine,8.5,D-4 R-70 V-60 G-3 R-0
88,smooth_creamy,I need a creamy and smooth coffee now,7.0,drip,smooth & nutty & low acidity,93,medium-coarse,N/A,D-4 R-74 V-180 G-7 R-0
89,chocolate_nutty,Brew a chocolatey and nutty coffee with a kick,3.0,french-press,high-quality & medium-bodied & chocolatey & floral,96,extra-coarse,N/A,D-5 R-74 V-60 G-5 R-0
90,chocolate_nutty,Brew a chocolatey and nutty coffee now,3.0,french-press,high-quality & medium-bodied & chocolatey & floral,96,extra-coarse,N/A,D-5 R-74 V-60 G-5 R-0
91,smooth_creamy,Give me something smooth and not too acidic for a hot day,10.0,drip,smooth & nutty & low acidity,93,medium-coarse,N/A,D-4 R-74 V-260 G-7 R-0
92,chocolate_nutty,Brew a chocolatey and nutty coffee with a kick,3.0,french-press,high-quality & medium-bodied & chocolatey & floral,96,extra-coarse,N/A,D-5 R-74 V-60 G-5 R-0
93,fruity_light,Brew something with berry flavors and light body please,7.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-180 G-5 R-0
94,iced_sweet,Give me a cold brew with vanilla and caramel notes that helps me relax,3.0,cold-brew,high-quality & medium-bodied & chocolatey & floral,21,extra-coarse,N/A,D-0 R-74 V-60 G-5 R-0
95,fruity_light,Give me a light roast with fruitiness for a hot day,3.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-60 G-5 R-0
96,bold_espresso,I need a strong espresso shot now,3.0,espresso,high-quality & medium-bodied & chocolatey & floral,94,medium-fine,8.5,D-4 R-70 V-60 G-3 R-0
97,chocolate_nutty,I want a smooth cup with chocolate notes with a kick,3.0,french-press,high-quality & medium-bodied & chocolatey & floral,96,extra-coarse,N/A,D-5 R-74 V-60 G-5 R-0
98,bold_espresso,Give me the strongest espresso you've got for a hot day,10.0,espresso,high-quality & medium-bodied & chocolatey & floral,94,medium-fine,8.5,D-4 R-70 V-260 G-3 R-0
99,smooth_creamy,Make me a mellow brew with a soft finish please,3.0,drip,high-quality & medium-bodied & chocolatey & floral,94,medium-coarse,N/A,D-4 R-74 V-60 G-7 R-0
100,bold_espresso,Give me the strongest espresso you've got now,7.0,espresso,high-quality & medium-bodied & chocolatey & floral,94,medium-fine,8.5,D-4 R-70 V-180 G-3 R-0
101,smooth_creamy,Brew a balanced and gentle coffee for a hot day,3.0,drip,smooth & nutty & low acidity,93,medium-coarse,N/A,D-4 R-74 V-60 G-7 R-0
102,fruity_light,I want a floral and fruity cup please,3.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-60 G-5 R-0
103,fruity_light,I'd like something fruity and light for a hot day,3.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-60 G-5 R-0
104,chocolate_nutty,Make a nutty medium roast that helps me relax,3.0,drip,high-quality & medium-bodied & chocolatey & floral,94,medium-coarse,N/A,D-4 R-74 V-60 G-7 R-0
105,fruity_light,Make me a bright coffee with citrus notes,3.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-60 G-5 R-0
